radial_window,m_defects,seeds,Omega_update_density_mean,Omega_update_global_mean,Omega_update_residual_mean,Omega_update_residual_sem,Omega_update_residual_positive_frac,forced_density_mean,forced_defect_splits_mean,defect_active_faces_final_mean
inner_0p15_0p45,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,53.8
inner_0p15_0p45,2,5,0.076341,0.050923,0.025417,0.02767,0.6,0.0,46.0,288.2
inner_0p15_0p45,4,5,0.200298,0.135647,0.064651,0.034216,0.8,0.0,91.0,491.8
inner_0p15_0p45,8,5,0.328524,0.296071,0.032453,0.015447,0.8,0.0,179.0,902.6
mid_0p45_0p90,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,53.8
mid_0p45_0p90,2,5,0.065392,0.050923,0.014469,0.013998,0.8,0.0,46.0,288.2
mid_0p45_0p90,4,5,0.080469,0.135647,-0.055179,0.031923,0.2,0.0,91.0,491.8
mid_0p45_0p90,8,5,0.263664,0.296071,-0.032408,0.034888,0.4,0.0,179.0,902.6
outer_0p90_1p50,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,53.8
outer_0p90_1p50,2,5,0.06182,0.050923,0.010897,0.0235,0.4,0.0,46.0,288.2
outer_0p90_1p50,4,5,0.064706,0.135647,-0.070942,0.032261,0.0,0.0,91.0,491.8
outer_0p90_1p50,8,5,0.287079,0.296071,-0.008992,0.028377,0.6,0.0,179.0,902.6
wide_0p15_1p50,0,5,0.0,0.0,0.0,0.0,0.0,0.0,,53.8
wide_0p15_1p50,2,5,0.061953,0.050923,0.01103,0.015518,0.6,0.0,46.0,288.2
wide_0p15_1p50,4,5,0.117779,0.135647,-0.017869,0.022943,0.2,0.0,91.0,491.8
wide_0p15_1p50,8,5,0.310126,0.296071,0.014055,0.006247,0.8,0.0,179.0,902.6
